N/R/U,Applicant,BLA Number,Proprietary Name,Proper Name,BLA Type,Strength,Dosage Form,Route of Administration,Product Presentation,Status,Licensure,Approval Date,Ref. Product Proper Name,Ref. Product Proprietary Name,Supplement Number,Submission Type,License Number,Product Number,Center,Date of First Licensure,Exclusivity Expiration Date,First Interchangeable Exclusivity Exp. Date,Ref. Product Exclusivity Exp. Date,Orphan Exclusivity Exp. Date
,"Iso-Tex Diagnostics, Inc.",017835,Chromalbin,albumin chromated CR-51 serum,351(a),100uCi,Injection,Intravenous,Single-Dose Vial,Disc,Voluntarily Revoked,2/23/1976,-,,,Original,2189,001,CDER,,,,,
,"Iso-Tex Diagnostics, Inc.",017835,Chromalbin,albumin chromated CR-51 serum,351(a),250uCi,Injection,Intravenous,Single-Dose Vial,Disc,Voluntarily Revoked,2/23/1976,-,,,Original,2189,002,CDER,,,,,
,"Iso-Tex Diagnostics, Inc.",017835,Chromalbin,albumin chromated CR-51 serum,351(a),500uCi,Injection,Intravenous,Single-Dose Vial,Disc,Voluntarily Revoked,2/23/1976,-,,,Original,2189,003,CDER,,,,,
,"Iso-Tex Diagnostics, Inc.",017836,Jeanatope,kit for iodinated I-125 albumin,351(a),"500uCi/0.5ML (1,000uCi/ML)",Injection,Intravenous,Multi-Dose Vial,Rx,Licensed,2/23/1976,-,,,Original,2189,001,CDER,,,,,
,"Iso-Tex Diagnostics, Inc.",017836,Jeanatope,kit for iodinated I-125 albumin,351(a),"1,000uCi/ML (1,000uCi/ML)",Injection,Intravenous,Multi-Dose Vial,Rx,Licensed,2/23/1976,-,,,Original,2189,002,CDER,,,,,
,"Iso-Tex Diagnostics, Inc.",017836,Jeanatope,kit for iodinated I-125 albumin,351(a),100uCi/10ML (10uCi/ML),Injection,Intravenous,Multi-Dose Vial,Rx,Licensed,6/8/2004,-,,8,Supplement,2189,003,CDER,,,,,
,"Iso-Tex Diagnostics, Inc.",017837,Megatope,kit for iodinated I-131 albumin,351(a),0.5mCi,Injection,Intravenous,Multi-Dose Vial,Rx,Licensed,2/23/1976,-,,,Original,2189,001,CDER,,,,,
,"Iso-Tex Diagnostics, Inc.",017837,Megatope,kit for iodinated I-131 albumin,351(a),1mCi,Injection,Intravenous,Multi-Dose Vial,Rx,Licensed,2/23/1976,-,,,Original,2189,002,CDER,,,,,
,"Iso-Tex Diagnostics, Inc.",017837,Megatope,kit for iodinated I-131 albumin,351(a),2mCi,Injection,Intravenous,Multi-Dose Vial,Disc,Licensed,2/23/1976,-,,,Original,2189,003,CDER,,,,,
,"Iso-Tex Diagnostics, Inc.",017837,Megatope,kit for iodinated I-131 albumin,351(a),5uCi/AMP,Injection,Intravenous,Multi-Dose Vial,Disc,Licensed,2/23/1976,-,,,Original,2189,004,CDER,,,,,
,"Iso-Tex Diagnostics, Inc.",017837,Megatope,kit for iodinated I-131 albumin,351(a),20uCi/AMP,Injection,Intravenous,Multi-Dose Vial,Disc,Licensed,2/23/1976,-,,,Original,2189,005,CDER,,,,,
,Jubilant DraxImage Inc.,017881,Draximage MAA,kit for the preparation of technetium Tc-99m albumin aggregated,351(a),2.5MG/5MG/0.6MG/ 1.2MG,For Injectable Suspension,Intravenous,Multi-Dose Vial,Rx,Licensed,12/30/1987,-,,,Original,2186,001,CDER,,,,,
,Pharmalucence Inc,018263,Microlite,radiolabeled albumin technetium Tc-99m albumin colloid kit,351(a),,,,Single-Dose Vial,Disc,Voluntarily Revoked,3/25/1983,-,,,Original,2203,001,CDER,,,,,
,"DisCure Medical, LLC",018663,Chymodiactin,chymopapain,351(a),"10,000UNITS",For Injection,Intrathecal,Single-Dose Vial,Disc,Licensed,11/10/1982,-,,,Original,2185,001,CDER,,,,,
,"DisCure Medical, LLC",018663,Chymodiactin,chymopapain,351(a),"4,000UNITS",For Injection,Intrathecal,Single-Dose Vial,Disc,Licensed,8/21/1984,-,,"11,12",Supplement,2185,002,CDER,,,,,
,Eli Lilly and Company,018780,Humulin R U-100,insulin human,351(a),"1,000UNITS/10ML (100UNITS/ML)",Injection,Subcutaneous,Multi-Dose Vial,OTC,Licensed,10/28/1982,-,,,Original,1891,001,CDER,,,,,
,Eli Lilly and Company,018780,Humulin R U-500,insulin human,351(a),"1,500UNITS/3ML (500UNITS/ML)",Injection,Subcutaneous,Autoinjector,Rx,Licensed,12/29/2015,-,,152,Supplement,1891,002,CDER,,,,,
,Eli Lilly and Company,018780,Humulin R U-100,insulin human,351(a),300UNITS/3ML (100UNITS/ML),Injection,Subcutaneous,Autoinjector,Disc,Licensed,8/6/1998,-,,58,Supplement,1891,003,CDER,,,,,
,Eli Lilly and Company,018780,Humulin R U-500,insulin human,351(a),"10,000UNITS/20ML (500UNITS/ML)",Injection,Subcutaneous,Multi-Dose Vial,Rx,Licensed,3/31/1994,-,,42,Supplement,1891,004,CDER,,,,,
,Eli Lilly and Company,018780,Humulin R U-100,insulin human,351(a),300UNITS/3ML (100UNITS/ML),Injection,Subcutaneous,Multi-Dose Vial,OTC,Licensed,5/25/2018,-,,126,Supplement,1891,005,CDER,,,,,
,Eli Lilly and Company,018781,Humulin N,insulin isophane human,351(a),"1,000UNITS/10ML (100UNITS/ML)",Injectable Suspension,Subcutaneous,Multi-Dose Vial,OTC,Licensed,10/28/1982,-,,,Original,1891,001,CDER,,,,,
,Eli Lilly and Company,018781,Humulin N,insulin isophane human,351(a),300UNITS/3ML (100UNITS/ML),Injectable Suspension,Subcutaneous,Multi-Dose Vial,OTC,Licensed,10/28/1982,-,,,Original,1891,002,CDER,,,,,
,Eli Lilly and Company,018781,Humulin N,insulin isophane human,351(a),300UNITS/3ML (100UNITS/ML),Injectable Suspension,Subcutaneous,Autoinjector,OTC,Licensed,11/7/2013,-,,118,Supplement,1891,003,CDER,,,,,
,Eli Lilly and Company,019640,Humatrope,somatropin,351(a),2MG,For Injection,Subcutaneous,Single-Dose Vial,Rx,Licensed,6/23/1987,-,,1,Supplement,1891,001,CDER,,,,,11/1/2013
,Eli Lilly and Company,019640,Humatrope,somatropin,351(a),5MG,For Injection,Subcutaneous,Single-Dose Vial,Rx,Licensed,,-,,,Supplement,1891,004,CDER,,,,,11/1/2013
,Eli Lilly and Company,019640,Humatrope,somatropin,351(a),6MG,For Injection,Subcutaneous,Multi-Dose Cartridge,Rx,Licensed,2/4/1999,-,,22,Supplement,1891,005,CDER,,,,,11/1/2013
,Eli Lilly and Company,019640,Humatrope,somatropin,351(a),12MG,For Injection,Subcutaneous,Multi-Dose Cartridge,Rx,Licensed,2/4/1999,-,,22,Supplement,1891,006,CDER,,,,,11/1/2013
,Eli Lilly and Company,019640,Humatrope,somatropin,351(a),24MG,For Injection,Subcutaneous,Multi-Dose Cartridge,Rx,Licensed,2/4/1999,-,,22,Supplement,1891,007,CDER,,,,,11/1/2013
,Eli Lilly and Company,019717,Humulin 70/30,insulin isophane human and insulin human,351(a),700UNITS/10ML (70UNITS/ML); 300UNITS/10ML (30UNITS/ML),Injectable Suspension,Subcutaneous,Multi-Dose Vial,OTC,Licensed,4/25/1989,-,,,Original,1891,001,CDER,,,,,
,Eli Lilly and Company,019717,Humulin 70/30,insulin isophane human and insulin human,351(a),210UNITS/3ML (70UNITS/ML); 90UNITS/3ML (30UNITS/ML),Injectable Suspension,Subcutaneous,Multi-Dose Vial,OTC,Licensed,4/25/1989,-,,,Original,1891,002,CDER,,,,,
,Eli Lilly and Company,019717,Humulin 70/30,insulin isophane human and insulin human,351(a),210UNITS/3ML (70UNITS/ML); 90UNITS/3ML (30UNITS/ML),Injectable Suspension,Subcutaneous,Autoinjector,OTC,Licensed,11/7/2013,-,,98,Supplement,1891,003,CDER,,,,,
,"EMD Serono, Inc.",019764,Saizen,somatropin,351(a),6MG,For Injection,Subcutaneous,Single-Dose Vial,Rx,Licensed,10/8/1996,-,,,Original,1773,001,CDER,,,,,
,"EMD Serono, Inc.",019764,Saizen,somatropin,351(a),5MG,For Injection,Subcutaneous,Single-Dose Vial,Rx,Licensed,10/8/1996,-,,,Original,1773,002,CDER,,,,,
,"EMD Serono, Inc.",019764,Saizen,somatropin,351(a),8.8MG,For Injection,Subcutaneous,Single-Dose Vial,Rx,Licensed,8/29/2000,-,,3,Supplement,1773,003,CDER,,,,,
,"EMD Serono, Inc.",019764,Saizen,somatropin,351(a),4MG,For Injection,Subcutaneous,Single-Dose Vial,Rx,Licensed,1/16/2007,-,,30,Supplement,1773,005,CDER,,,,,
,Ferring Pharmaceuticals Inc.,019774,Zomacton,somatropin,351(a),4.8MG,For Injection,Subcutaneous,Multi-Dose Vial,Rx,Licensed,5/25/1995,-,,,Original,2112,001,CDER,,,,,
,Ferring Pharmaceuticals Inc.,019774,Zomacton,somatropin,351(a),5MG,For Injection,Subcutaneous,Multi-Dose Vial,Rx,Licensed,1/4/2002,-,,8,Supplement,2112,002,CDER,,,,,
,Ferring Pharmaceuticals Inc.,019774,Zomacton,somatropin,351(a),10MG,For Injection,Subcutaneous,Multi-Dose Vial,Rx,Licensed,3/7/2012,-,,25,Supplement,2112,003,CDER,,,,,
,"Leadiant Biosciences, Inc",019818,Adagen,pegademase bovine,351(a),375UNITS/1.5ML (250UNITS/ML),Injection,Intramuscular,Single-Dose Vial,Disc,Licensed,3/21/1990,-,,,Original,2073,001,CDER,,,,,3/21/1997
,Novo Nordisk Inc.,019938,Novolin R,insulin human,351(a),"1,000UNITS/10ML (100UNITS/ML)",Injection,Subcutaneous,Multi-Dose Vial,OTC,Licensed,6/25/1991,-,,,Original,1261,001,CDER,,,,,
,Novo Nordisk Inc.,019938,Novolin R,insulin human,351(a),300UNITS/3ML (100UNITS/ML),Injection,Subcutaneous,Autoinjector,Rx,Licensed,6/1/2018,-,,76,Supplement,1261,002,CDER,,,,,
,Novo Nordisk Inc.,019959,Novolin N,insulin isophane human,351(a),"1,000UNITS/10ML (100UNITS/ML)",Injectable Suspension,Subcutaneous,Multi-Dose Vial,Rx,Licensed,7/1/1991,-,,,Original,1261,001,CDER,,,,,
,Novo Nordisk Inc.,019959,Novolin N,insulin isophane human,351(a),300UNITS/3ML (100UNITS/ML),Injectable Suspension,Subcutaneous,Autoinjector,Rx,Licensed,7/1/1991,-,,,Original,1261,002,CDER,,,,,
,Novo Nordisk Inc.,019991,Novolin 70/30,insulin isophane human and insulin human,351(a),300UNITS/10ML (30UNITS/ML); 700UNITS/10ML (70UNITS/ML),Injection,Subcutaneous,Multi-Dose Vial,OTC,Licensed,6/25/1991,-,,,Original,1261,001,CDER,,,,,
,Novo Nordisk Inc.,019991,Novolin 70/30,insulin isophane human and insulin human,351(a),90UNITS/3ML (30UNITS/ML); 210UNITS/3ML (70UNITS/ML),Injection,Subcutaneous,Autoinjector,OTC,Licensed,6/1/2018,-,,79,Supplement,1261,002,CDER,,,,,
,AbbVie Inc.,020032,Survanta,beractant,351(a),100MG/4ML (25MG/ML),Suspension,Intratracheal,Single-Dose Vial,Rx,Licensed,7/1/1991,-,,,Original,1889,001,CDER,,,,,7/2/1998
,AbbVie Inc.,020032,Survanta,beractant,351(a),200MG/8ML (25MG/ML),Suspension,Intratracheal,Single-Dose Vial,Rx,Licensed,7/1/1991,-,,,Original,1889,002,CDER,,,,,7/2/1998
,Ferring Pharmaceuticals Inc.,020162,Acthrel,corticorelin ovine triflutate,351(a),100MCG,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,5/23/1996,-,,,Original,2112,001,CDER,,,,,5/23/2003
,"Genentech, Inc.",020168,Nutropin,somatropin,351(a),5MG,For Injection,Subcutaneous,Multi-Dose Vial,Disc,Licensed,11/17/1993,-,,,Original,1048,001,CDER,,,,,12/30/2003
,"Genentech, Inc.",020168,Nutropin,somatropin,351(a),10MG,For Injection,Subcutaneous,Multi-Dose Vial,Disc,Licensed,11/17/1993,-,,,Original,1048,002,CDER,,,,,12/30/2003
,Pharmacia & Upjohn Company LLC,020280,Genotropin,somatropin,351(a),1.5MG,For Injection,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,8/24/1995,-,,,Original,1216,001,CDER,,,,,7/25/2008
,Pharmacia & Upjohn Company LLC,020280,Genotropin,somatropin,351(a),5MG,For Injection,Subcutaneous,Multi-Dose Cartridge,Rx,Licensed,8/24/1995,-,,,Original,1216,002,CDER,,,,,7/25/2008
,Pharmacia & Upjohn Company LLC,020280,Genotropin,somatropin,351(a),0.6MG,For Injection,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,1/27/1998,-,,9,Supplement,1216,003,CDER,,,,,7/25/2008
,Pharmacia & Upjohn Company LLC,020280,Genotropin,somatropin,351(a),0.2MG,For Injection,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,1/27/1998,-,,9,Supplement,1216,004,CDER,,,,,7/25/2008
,Pharmacia & Upjohn Company LLC,020280,Genotropin,somatropin,351(a),0.8MG,For Injection,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,1/27/1998,-,,9,Supplement,1216,005,CDER,,,,,7/25/2008
,Pharmacia & Upjohn Company LLC,020280,Genotropin,somatropin,351(a),0.4MG,For Injection,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,1/27/1998,-,,9,Supplement,1216,006,CDER,,,,,7/25/2008
,Pharmacia & Upjohn Company LLC,020280,Genotropin,somatropin,351(a),12MG,For Injection,Subcutaneous,Multi-Dose Cartridge,Rx,Licensed,10/23/1996,-,,7,Supplement,1216,007,CDER,,,,,7/25/2008
,Pharmacia & Upjohn Company LLC,020280,Genotropin,somatropin,351(a),1MG,For Injection,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,1/27/1998,-,,9,Supplement,1216,008,CDER,,,,,7/25/2008
,Pharmacia & Upjohn Company LLC,020280,Genotropin,somatropin,351(a),1.2MG,For Injection,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,1/27/1998,-,,9,Supplement,1216,009,CDER,,,,,7/25/2008
,Pharmacia & Upjohn Company LLC,020280,Genotropin,somatropin,351(a),1.4MG,For Injection,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,1/27/1998,-,,9,Supplement,1216,010,CDER,,,,,7/25/2008
,Pharmacia & Upjohn Company LLC,020280,Genotropin,somatropin,351(a),1.6MG,For Injection,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,1/27/1998,-,,9,Supplement,1216,011,CDER,,,,,7/25/2008
,Pharmacia & Upjohn Company LLC,020280,Genotropin,somatropin,351(a),1.8MG,For Injection,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,1/27/1998,-,,9,Supplement,1216,012,CDER,,,,,7/25/2008
,Pharmacia & Upjohn Company LLC,020280,Genotropin,somatropin,351(a),2MG,For Injection,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,1/27/1998,-,,9,Supplement,1216,013,CDER,,,,,7/25/2008
,Bayer HealthCare Pharmaceuticals Inc.,020304,Trasylol,aprotinin,351(a),"1,000,000KIU/100ML (10,000KIU/ML)",Injection,Intravenous,Single-Dose Vial,Disc,Licensed,12/29/1993,-,,,Original,1778,001,CDER,,,,,12/29/2000
,Bayer HealthCare Pharmaceuticals Inc.,020304,Trasylol,aprotinin,351(a),"2,000,000KIU/200ML (10,000KIU/ML)",Injection,Intravenous,Single-Dose Vial,Disc,Licensed,12/29/1993,-,,,Original,1778,002,CDER,,,,,12/29/2000
,"Organon USA Inc., a subsidiary of Merck & Co., Inc.",020328,Humegon,menotropins,351(a),75IU,For Injection,Intramuscular,Single-Dose Vial,Disc,Licensed,9/1/1994,-,,,Original,,001,CDER,,,,,
,"Organon USA Inc., a subsidiary of Merck & Co., Inc.",020328,Humegon,menotropins,351(a),150IU,For Injection,Intramuscular,Single-Dose Vial,Disc,Licensed,9/1/1994,-,,,Original,2193,002,CDER,,,,,
,Genzyme Corporation,020367,Cerezyme,imiglucerase,351(a),200UNITS/VIAL,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,5/23/1994,-,,,Original,1596,001,CDER,,,,,5/23/2001
,Genzyme Corporation,020367,Cerezyme,imiglucerase,351(a),400UNITS/VIAL,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,9/22/1999,-,,34,Supplement,1596,002,CDER,,,,,5/23/2001
,"EMD Serono, Inc.",020378,Gonal-f,follitropin alfa,351(a),75IU,For Injection,Subcutaneous,Ampule,Disc,Licensed,9/29/1997,-,,,Original,1773,001,CDER,,,,,5/24/2007
,"EMD Serono, Inc.",020378,Gonal-f,follitropin alfa,351(a),150IU,For Injection,Subcutaneous,Ampule,Disc,Licensed,9/29/1997,-,,,Original,1773,002,CDER,,,,,5/24/2007
,"EMD Serono, Inc.",020378,Gonal-f,follitropin alfa,351(a),37.5IU,For Injection,Subcutaneous,Ampule,Disc,Licensed,3/25/2004,-,,15,Supplement,1773,003,CDER,,,,,5/24/2007
,"EMD Serono, Inc.",020378,Gonal-f,follitropin alfa,351(a),"1,050IU (600IU/ML)",For Injection,Subcutaneous,Multi-Dose Vial,Rx,Licensed,2/28/2001,-,,9,Supplement,1773,004,CDER,,,,,5/24/2007
,"EMD Serono, Inc.",020378,Gonal-f,follitropin alfa,351(a),450IU (600IU/ML),For Injection,Subcutaneous,Multi-Dose Vial,Rx,Licensed,3/26/2004,-,,16,Supplement,1773,005,CDER,,,,,5/24/2007
,ONY Biotech Inc.,020521,Infasurf,calfactant,351(a),210MG/6ML (35MG/ML),Suspension,Intratracheal,Single-Dose Vial,Rx,Licensed,7/1/1998,-,,,Original,2192,001,CDER,,,,,
,ONY Biotech Inc.,020521,Infasurf,calfactant,351(a),105MG/3ML (35MG/ML),Suspension,Intratracheal,Single-Dose Vial,Rx,Licensed,12/12/2002,-,,8,Supplement,2192,002,CDER,,,,,
,ONY Biotech Inc.,020521,Infasurf,calfactant,351(a),420MG/12ML (35MG/ML),Suspension,Intratracheal,Single-Dose Vial,Disc,Licensed,,-,,,Supplement,2192,003,CDER,,,,,
,"Genentech, Inc.",020522,Nutropin AQ,somatropin,351(a),10MG/2ML,Injection,Subcutaneous,Vial,Disc,Licensed,12/29/1995,-,,,Original,1048,001,CDER,,,,,
,"Genentech, Inc.",020522,Nutropin AQ,somatropin,351(a),10MG/2ML,Injection,Subcutaneous,Multi-Dose Cartridge,Disc,Licensed,4/22/2002,-,,17,Supplement,1048,002,CDER,,,,,
,"Genentech, Inc.",020522,Nutropin AQ,somatropin,351(a),5MG/2ML,Injection,Subcutaneous,Autoinjector,Rx,Licensed,1/3/2008,-,,37,Supplement,1048,003,CDER,,,,,
,"Genentech, Inc.",020522,Nutropin AQ,somatropin,351(a),20MG/2ML,Injection,Subcutaneous,Autoinjector,Rx,Licensed,1/3/2008,-,,37,Supplement,1048,004,CDER,,,,,
,"Genentech, Inc.",020522,Nutropin AQ,somatropin,351(a),10MG/2ML,Injection,Subcutaneous,Autoinjector,Rx,Licensed,1/3/2008,-,,36,Supplement,1048,005,CDER,,,,,
